latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-21.18711,127.64718,318.29,1.3,1.13,2024-06-27,0117,T,46,6.1NRT,296.71,16.45,D
-21.18863,127.65948,316.61,1.3,1.13,2024-06-27,0117,T,50,6.1NRT,296.95,14.72,D
-21.19718,127.64581,347.47,1.3,1.13,2024-06-27,0117,T,94,6.1NRT,298.52,76.44,D
-21.20572,127.63215,325.35,1.29,1.13,2024-06-27,0117,T,61,6.1NRT,296.11,26.66,D
39.54218,141.05196,304.41,1.14,1.06,2024-06-27,0100,T,53,6.1NRT,294.23,5.39,D
39.33581,141.5377,312.62,1.2,1.09,2024-06-27,0100,T,43,6.1NRT,300.5,9.86,D
38.75584,140.51659,309.21,1.11,1.05,2024-06-27,0100,T,59,6.1NRT,298.98,7.02,D
38.56358,140.95584,317.99,1.16,1.07,2024-06-27,0100,T,75,6.1NRT,304.68,11.94,D
38.18323,140.10301,311.42,1.1,1.04,2024-06-27,0100,T,36,6.1NRT,298.45,7.51,D
27.24748,140.88373,311.33,1.86,1.33,2024-06-27,0105,T,48,6.1NRT,296.2,12.32,D
58.9486,138.47522,314.27,1.47,1.2,2024-06-27,0054,T,74,6.1NRT,295.21,18.28,D
58.9465,138.50061,311.73,1.47,1.2,2024-06-27,0054,T,60,6.1NRT,292.54,14.82,D
53.27518,128.85635,327.51,3.41,1.74,2024-06-27,0056,T,48,6.1NRT,277.05,123.53,D
53.28008,128.84857,323.09,3.41,1.74,2024-06-27,0056,T,82,6.1NRT,276.92,107.5,D
53.16377,130.33868,306,2.88,1.62,2024-06-27,0056,T,33,6.1NRT,270.58,26.27,D
53.16178,130.33282,305.8,2.88,1.62,2024-06-27,0056,T,49,6.1NRT,270.25,27.31,D
52.8799,132.55551,308.71,2.23,1.45,2024-06-27,0056,T,40,6.1NRT,292.79,16.52,D
52.90998,131.42705,308.44,2.54,1.53,2024-06-27,0056,T,42,6.1NRT,293.5,23.32,D
44.17264,142.39859,305.44,1.11,1.05,2024-06-27,0058,T,28,6.1NRT,289.01,4.42,D
43.81768,144.11713,315.59,1.3,1.13,2024-06-27,0058,T,63,6.1NRT,301.24,12.98,D
67.35217,161.23552,306.36,1.23,1.1,2024-06-27,0052,T,45,6.1NRT,284.41,8.7,D
67.34671,161.26138,311.58,1.23,1.1,2024-06-27,0052,T,62,6.1NRT,285.56,12.9,D
-34.46957,117.27418,323.35,1.24,1.11,2024-06-27,0120,T,78,6.1NRT,279.6,33.39,D
-34.47191,117.28745,314.2,1.24,1.11,2024-06-27,0120,T,65,6.1NRT,278.91,21.76,D
-3.75207,16.22485,302.98,2.51,1.52,2024-06-27,0132,A,52,6.1NRT,289.09,22.03,N
-3.49601,12.13055,301.48,1.23,1.1,2024-06-27,0132,A,15,6.1NRT,289.86,5.39,N
-3.49762,12.14144,331.94,1.24,1.1,2024-06-27,0132,A,100,6.1NRT,290.66,42.76,N
-3.50738,12.13987,307.12,1.24,1.1,2024-06-27,0132,A,70,6.1NRT,290.03,10.15,N
-6.85812,12.39058,309.91,1.42,1.18,2024-06-27,0132,A,68,6.1NRT,291.6,14.59,N
-6.85993,12.40321,307.79,1.42,1.18,2024-06-27,0132,A,57,6.1NRT,291.63,12.21,N
52.54132,17.53655,307.89,1.54,1.22,2024-06-27,0117,A,73,6.1NRT,285.24,18.05,N
52.53938,17.55886,323.72,1.53,1.22,2024-06-27,0117,A,100,6.1NRT,285.82,43.09,N
